Name,Short name,Previous winner,GOP %,DEM %,OTH %
Alabama,AL,GOP,66.91,29.18,3.91
Alaska,AK,GOP,50.29,24.21,25.5
Arizona,AZ,DEM,49.65,50.32,0.03
Arkansas,AR,GOP,62.96,35.2,1.84
California,CA,DEM,40.82,59.18,0
Colorado,CO,DEM,39.18,58.53,2.29
Connecticut,CT,DEM,43.05,55.97,0.98
Florida,FL,GOP,59.37,39.97,0.66
Georgia,GA,GOP,53.41,45.88,0.71
Hawaii,HI,DEM,36.84,63.16,0
Idaho,ID,GOP,60.52,20.28,19.2
Illinois,IL,DEM,42.37,54.91,2.72
Iowa,IA,GOP,58.04,39.53,2.43
Kansas,KS,DEM,47.33,49.54,3.13
Maine,ME,DEM,42.45,55.69,1.86
Maryland,MD,DEM,32.12,64.53,3.35
Massachusetts,MA,DEM,34.57,63.74,1.69
Michigan,MI,DEM,43.94,54.47,1.59
Minnesota,MN,DEM,44.61,52.27,3.12
Nebraska,NE,GOP,59.22,35.98,4.8
Nevada,NV,GOP,48.81,47.3,3.89
New Hampshire,NH,GOP,53.61,44.27,2.12
New Mexico,NM,DEM,45.59,51.97,2.44
New York,NY,DEM,46.73,53.12,0.15
Ohio,OH,GOP,62.41,37.38,0.21
Oklahoma,OK,GOP,55.45,41.79,2.76
Oregon,OR,DEM,43.54,46.96,9.5
Pennsylvania,PA,DEM,41.71,56.49,1.8
Rhode Island,RI,DEM,38.86,57.92,3.22
South Carolina,SC,GOP,58.04,40.67,1.29
South Dakota,SD,GOP,61.98,35.17,2.85
Tennessee,TN,GOP,64.91,32.92,2.17
Texas,TX,GOP,54.76,43.86,1.38
Vermont,VT,GOP,73.43,21.83,4.74
Wisconsin,WI,DEM,47.75,51.15,1.1
Wyoming,WY,GOP,74.07,15.82,10.11
