Name,Short name,Previous winner,GOP %,DEM %,OTH %
Alabama,AL,GOP,60.1,39.74,0.16
Alaska,AK,GOP,53.9,41.19,4.91
Arkansas,AR,GOP,66.53,33.47,0
Colorado,CO,DEM,44.18,53.5,2.32
Delaware,DE,DEM,37.9,59.44,2.66
Georgia,GA,DEM,49.39,50.61,0
Idaho,ID,GOP,62.62,33.25,4.13
Illinois,IL,DEM,38.87,54.93,6.2
Iowa,IA,GOP,51.74,45.15,3.11
Kansas,KS,GOP,53.22,41.79,4.99
Kentucky,KY,GOP,57.76,38.23,4.01
Louisiana,LA,GOP,61.17,35.28,3.55
Maine,ME,GOP,50.98,42.39,6.63
Massachusetts,MA,DEM,33.05,66.15,0.8
Michigan,MI,DEM,48.22,49.9,1.88
Minnesota,MN,DEM,43.5,48.74,7.76
Mississippi,MS,GOP,54.1,44.13,1.77
Montana,MT,GOP,55.01,44.99,0
Nebraska,NE,GOP,62.74,24.43,12.83
New Hampshire,NH,DEM,40.99,56.63,2.38
New Jersey,NJ,DEM,40.92,57.23,1.85
New Mexico,NM,DEM,45.62,51.73,2.65
North Carolina,NC,GOP,48.69,46.94,4.37
Oklahoma,OK,GOP,62.91,32.75,4.34
Oregon,OR,DEM,39.62,56.91,3.47
Rhode Island,RI,DEM,33.35,66.48,0.17
South Carolina,SC,GOP,54.44,44.17,1.39
South Dakota,SD,GOP,65.74,34.26,0
Tennessee,TN,GOP,62.2,35.16,2.64
Texas,TX,GOP,53.51,43.87,2.62
Virginia,VA,DEM,43.91,55.99,0.1
West Virginia,WV,GOP,70.28,27,2.72
Wyoming,WY,GOP,72.85,26.76,0.39
